group	Anaerobutyricum_hallii_A	Enterocloster_aldenensis	Blautia_A_wexlerae	Dorea_formicigenerans	Anaerostipes_hadrus_A	Anaerostipes_hadrus	Blautia_A_hydrogenotrophica	Streptococcus_sp004166885	Gordonibacter_pamelaeae	Longicatena_innocuum	Alistipes_putredinis	Akkermansia_muciniphila_D	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0.18274	0.36316	0.21301	0.2229	0	0	0	0	0	0	0.02436	0	0	1.11023	1.11485	0.20306	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.04387	0	0	0	0	0	0	0	0	4.24235	10.5195	0	0.14666	0	2.32076	0.08058	1.11619	0	0
Healthy	0	0.37487	0	0.00989	0	0	0	0	0	0	1.34472	0	0	0	0.32918	3.71119	0	0.87961	0	0
Healthy	1.40782	0.28899	0.2328	0.01748	0.26094	0.33099	0	0	0	0	0	0	0.19855	35.2092	0.15406	0.88663	0	0	0.0586	0
Healthy	3.00802	0	0.31212	0	0.02712	1.69309	0.0803	0.0084	0.08424	0.04659	3.03243	6.51919	0	0	13.2551	1.67671	0.02425	0.23793	0	0.03893
D003093	0.41963	0.7578	0.31774	0.78793	0	0.12699	0	0.01058	0	0.00042	0	0.00375	0	0.23521	0.0121	0.00464	1.84167	0.16738	0	0
Healthy	0.15216	0.89985	0.99415	0	0.44128	0.30021	0.00706	0.02727	0.01546	0.00973	5.3789	0.00699	0	0	1.36382	0.69285	1.77066	0	0	0
Healthy	0.39885	0.41058	0.12754	0.13158	0	0.15794	0	0	0	0	2.74881	0	0	0	0	1.06743	0	0	0.1002	0
Healthy	0	0.07476	0	0	0	0	0	0	0	0	0	0	0	0	0.81758	0	0	0	0	0
Healthy	5.83452	2.01212	2.84013	2.54844	0.57309	1.84722	0	0	0	0	1.91669	0	0	0	0	1.57928	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0.0522	0	0	0.05242	0	0	0	0	0	0	0.04332
Healthy	0	0	2.43898	0	0	0	0	0	0	0.00254	0	0	0	0	0	0	1.28863	0	0	0
Healthy	0.08323	0.06701	0.13568	0.01852	0.00936	0	0	0	0	0.00535	17.0047	0.13239	2.97255	0	0	0.96341	0	0	0.01275	0.10445
Healthy	0.86242	0.19451	0.40834	0.79977	0	0	0	0	0	0	0.29245	0	0	0.3351	0	1.02652	0	0	0	0
Healthy	0.27006	0.08633	0.23099	0.17601	0.04458	2.37608	0.00498	0	0	0	0	0	0	0	0	0.70518	0	0.85088	0	0.00594
Healthy	0.02937	0.05055	0	0	0	0	0	0	0	0	7.74784	0.03307	12.9858	0.05654	0	0.18205	0	0	0.0234	0.05866
Healthy	3.90154	3.12286	1.28674	1.05475	0.01042	0.39887	0	0	0	0.00403	0	0	0	3.53215	0	0	0.08772	1.447	0	0
Healthy	0	0	0.15075	0	0	0	0.00669	0	0.14118	0.00584	0.18465	43.9894	2.60171	0	0.43743	1.02413	0	0	0.00705	0.01393
Healthy	0	0.04111	0	0	0	0	0	0	0	0	4.12456	10.41	0	0.13383	0	2.1584	0.08423	1.07194	0	0
Healthy	0.48446	0.26654	0.20733	0.22893	0.20734	0.17231	0	0	0	0	3.82611	0.10078	5.94604	1.3769	0.56156	2.49724	2.51045	0.62491	0	0.00771
Healthy	0	0.01072	0	0.00637	0	0	0	0	0	0	12.4605	0	5.89113	0	0	1.835	0	0.60288	0.11666	0
Healthy	0.07101	0.07853	0.08157	0.01205	0	0	0	0	0.02894	0	0	7.09147	17.7048	4.34746	0.08736	0.77469	0	0	0.27735	0.08755
Healthy	0.36709	0.4664	0.25761	0.36276	0.01155	0.00777	0	0	0	0	0.7344	0	0	0.18656	0.06598	0.10148	0	1.44036	0.00491	0
Healthy	2.07775	0.66465	0.53567	0	0	0	0	0	0	0	1.26871	0	5.0839	3.09812	6.48886	0	0	0	0	0
Healthy	1.01417	0.79934	0.43257	0.42913	0.32629	0.19982	0	0	0	0	0.58806	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.01714	0	0	0	0	0	0	3.73852	0	0.01411	0.71478	0	1.14853	0.17416	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.55019	0	0	0	0	0	0	0	0.08548
Healthy	0.16832	0.14405	0.32221	0.10267	0.10029	0.04337	0	0	0	0	7.65419	0.38836	1.21706	0.19551	0.18129	0.6863	2.53084	0.92049	0.01433	0.01783
Healthy	0	0	0	0.00131	0	0	0	0	0	0	0	0	0.62783	0	0	0	2.08642	0	0.01751	0.2382
Healthy	0	0	0	0	0	0	0	0	0	0	10.2713	0	0	0	0	0.36488	0	0	0.34626	0.12848
Healthy	0.82993	0.07968	0.88487	0.89458	0	0.14314	0	0	0	0	0	0	5.62249	0.32812	0	0	0	0	0	0
Healthy	0.1047	0.36575	0.26133	0.09499	0.00271	0.01909	0	0	0	0	3.53164	0.09373	0	0.44871	12.8886	1.54262	0.61269	0.39279	0.00946	0
Healthy	0	0	0.01581	0.01103	0	0	0	0	0	0	13.3099	8.71159	0	0.12177	0.13725	0.8739	0	1.07452	0	0
Healthy	0	2.0934	0.83816	0	0	0	0	0.26262	0.12466	0	3.3858	0	0	0	0.08138	0.15618	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0.02511	0	0.04991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.03732	0	0.00858	0	0.0054	0.00066	0.02085	0	0.01123	0.00069	2.87484	19.023	0	0	1.65021	0.57108	0	0	0.00056	0.00188
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.00039	0	0.01973	0	0	0	0	0	0
Healthy	0	1.22495	0	0	0	0	0	0	0	0	16.1833	11.9695	0	10.5799	0.3413	2.60049	0	0	0	0
Healthy	0.26443	5.10983	0.34818	0.45702	0.40163	0.66597	0	0	0	0	4.07638	2.81759	0	0.58348	0.08527	0.37331	0	0	0.06954	0
Healthy	0.17258	0.4649	0.18999	0.13819	0.08509	0.02036	0	0	0	0	0	0	0	0	0	0.00185	0	0	0	0
Healthy	2.54507	0.27615	0.60366	0.13797	0.23759	0.08494	0	0	0	0	0.45756	0.49181	0	0.13293	1.32311	0.11892	0	0	0	0
Healthy	0	0.6479	0.02905	0.0541	0	0	0	0	0	0	1.38811	0	0	0.74931	1.43893	4.13013	2.99685	2.40498	0	0
Healthy	0.60179	0.33257	0.29519	0.14741	0.21148	0.04396	0	0	0	0	1.05779	0	0	0	0.07356	0.09746	0.03129	0.43982	0.00138	0
