group	Lachnospiraceae	Ruminococcaceae	Streptococcaceae	Veillonellaceae	Lactobacillaceae	Pasteurellaceae	Oscillospiraceae	Eggerthellaceae	Erysipelatoclostridiaceae	Peptostreptococcaceae	Lachnospiraceae	Rikenellaceae	Acutalibacteraceae	Enterobacteriaceae	Barnesiellaceae	Burkholderiaceae	Streptococcaceae	Erysipelotrichaceae	Lactobacillaceae	Coprobacteraceae
Healthy	20.44622	11.38099	0.34776	0	0.01283	0.01667	0.08577	0.00714	0	0	20.44622	10.80823	0.49975	0	1.35632	2.54517	0.34776	0.14758	0.01283	0.07048
Healthy	11.94382	31.38395	0.10367	0.52418	0	0.20553	0.24252	0	0	0	11.94382	0	0.25985	0.27184	0	2.10393	0.10367	0	0	0
D015212	39.32376	16.2952	3.78466	0.0006	0.01235	0.10383	0.44524	0.68803	0	0	39.32376	4.42199	0	0.01834	0	0	3.78466	0.10216	0.01235	0
Healthy	2.68635	0.55691	0	0	0	0	0.2224	0	0	0	2.68635	11.04018	0	2.0968	3.09629	0.34626	0	0	0	0
Healthy	32.47023	7.30624	0	0	0	0	0	0	0	0	32.47023	0.61666	6.32555	0	1.05966	0	0	0	0	0
D015212	13.48901	20.97216	0.18483	0	0	0	0.20607	0.27506	0	0	13.48901	12.93049	0	0.11909	0	0.16426	0.18483	0.0164	0	0
Healthy	51.48479	16.07999	0.01797	0.00396	0.18466	0	0.10294	0.00932	1.22303	0	51.48479	5.54226	1.73318	0.09698	0.15532	0.63021	0.01797	0.12328	0.18466	0
Healthy	4.28305	4.35091	0	0.46112	0	0	0	0.15579	0	0	4.28305	16.91879	0.12041	0.02507	1.08183	0.51464	0	0	0	0
Healthy	38.09029	10.34978	0.34649	0	0	0	0	1.54102	0	0	38.09029	4.64923	10.8039	1.49435	1.28148	0	0.34649	0	0	0
Healthy	6.73804	0.39654	0.45334	0	0	0	0	0	0	0	6.73804	0	0	0	0	0	0.45334	0	0	0
Healthy	12.91336	1.46969	0	0	0	0	0.26918	0	0	0	12.91336	0.94071	0	0	0	0	0	0.53907	0	0
Healthy	21.6924	25.29761	0	0	0	0	0.0678	0.08408	0	0	21.6924	9.92768	0.55688	0	0	0.00056	0	0.1903	0	0
Healthy	0.0105	0.00433	0.00532	0.03501	0.00233	0	0	0.0026	0	0.23549	0.0105	0	0	55.0788	0	0	0.00532	0	0.00233	0
Healthy	14.063	3.22833	0	0	0	0	2.41601	0	0	0	14.063	21.54638	0	0.57325	0	0	0	1.18442	0	0.07552
Healthy	41.68406	7.11176	0.7126	0.46493	0	0.91179	0	0.00383	0	4.42379	41.68406	5.53874	0.24502	0	1.3095	0.06954	0.7126	1.65472	0	0
Healthy	11.91339	1.23252	0	0	0	0	0.04376	0	0	0	11.91339	0.00185	1.96572	33.3132	0.78884	0	0	0.73283	0	0.03296
Healthy	26.02128	1.69264	0.02733	0	0	0	0	0	0	0	26.02128	0.57648	2.58388	5.37164	0.42416	0	0.02733	1.85933	0	0
